"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Feb 01 17:11:19 GMT 2024","Thu Feb 01 17:11:19 GMT 2024","149","","com.demo.shop.tests.e2e.OrderTests","","com.demo.shop.tests.e2e.OrderTests","orderTransactionIdShouldBeSetAfterPaymentSucceeded","orderTransactionIdShouldBeSetAfterPaymentSucceeded()",""
"broken","Thu Feb 01 17:11:19 GMT 2024","Thu Feb 01 17:11:19 GMT 2024","116","","com.demo.shop.tests.e2e.OrderTests","","com.demo.shop.tests.e2e.OrderTests","shouldNotBePossibleToPayForPaidOrderAndStatusRemains","shouldNotBePossibleToPayForPaidOrderAndStatusRemains()",""
"broken","Thu Feb 01 17:11:18 GMT 2024","Thu Feb 01 17:11:19 GMT 2024","111","","com.demo.shop.tests.e2e.OrderTests","","com.demo.shop.tests.e2e.OrderTests","shouldNotBePossibleToDeliverOrPayForDeliveredOrderAndStatusRemains","shouldNotBePossibleToDeliverOrPayForDeliveredOrderAndStatusRemains()",""
"broken","Thu Feb 01 17:11:19 GMT 2024","Thu Feb 01 17:11:19 GMT 2024","141","","com.demo.shop.tests.e2e.CustomerTests","","com.demo.shop.tests.e2e.CustomerTests","cannotCreateCustomerWithInvalidEmail","cannotCreateCustomerWithInvalidEmail(String, String) [2] email=test@mailinator.com, message=Email address is disposable",""
"broken","Thu Feb 01 17:11:19 GMT 2024","Thu Feb 01 17:11:19 GMT 2024","193","","com.demo.shop.tests.e2e.CustomerTests","","com.demo.shop.tests.e2e.CustomerTests","cannotCreateCustomerWithEmptyFields","cannotCreateCustomerWithEmptyFields()",""
"broken","Thu Feb 01 17:11:19 GMT 2024","Thu Feb 01 17:11:19 GMT 2024","112","","com.demo.shop.tests.e2e.OrderTests","","com.demo.shop.tests.e2e.OrderTests","statusShouldBeChangedFromNewToFailedToSucceeded","statusShouldBeChangedFromNewToFailedToSucceeded()",""
"broken","Thu Feb 01 17:11:19 GMT 2024","Thu Feb 01 17:11:20 GMT 2024","155","","com.demo.shop.tests.e2e.OrderTests","","com.demo.shop.tests.e2e.OrderTests","shouldNotBePossibleToDeliverNewOrderAndStatusRemains","shouldNotBePossibleToDeliverNewOrderAndStatusRemains()",""
"broken","Thu Feb 01 17:11:18 GMT 2024","Thu Feb 01 17:11:18 GMT 2024","110","","com.demo.shop.tests.e2e.OrderTests","","com.demo.shop.tests.e2e.OrderTests","statusShouldBeChangedFromNewToSucceededToDelivered","statusShouldBeChangedFromNewToSucceededToDelivered()",""
"broken","Thu Feb 01 17:11:19 GMT 2024","Thu Feb 01 17:11:19 GMT 2024","152","","com.demo.shop.tests.e2e.OrderTests","","com.demo.shop.tests.e2e.OrderTests","totalOrderPriceAndNumberOfProductsShouldBeCalculatedProperly","totalOrderPriceAndNumberOfProductsShouldBeCalculatedProperly()",""
"broken","Thu Feb 01 17:11:14 GMT 2024","Thu Feb 01 17:11:18 GMT 2024","4036","","com.demo.shop.tests.e2e.OrderTests","","com.demo.shop.tests.e2e.OrderTests","totalOrderItemPriceAndNumberOfProductsShouldBeCalculatedProperly","totalOrderItemPriceAndNumberOfProductsShouldBeCalculatedProperly()",""
"broken","Thu Feb 01 17:11:19 GMT 2024","Thu Feb 01 17:11:19 GMT 2024","114","","com.demo.shop.tests.e2e.OrderTests","","com.demo.shop.tests.e2e.OrderTests","shouldNotBePossibleToCreateOrderWithDuplicateProducts","shouldNotBePossibleToCreateOrderWithDuplicateProducts()",""
"broken","Thu Feb 01 17:11:19 GMT 2024","Thu Feb 01 17:11:19 GMT 2024","143","","com.demo.shop.tests.e2e.OrderTests","","com.demo.shop.tests.e2e.OrderTests","shouldNotBePossibleToDeliverFailedOrderAndStatusRemains","shouldNotBePossibleToDeliverFailedOrderAndStatusRemains()",""
"broken","Thu Feb 01 17:11:19 GMT 2024","Thu Feb 01 17:11:19 GMT 2024","214","","com.demo.shop.tests.e2e.CustomerTests","","com.demo.shop.tests.e2e.CustomerTests","cannotCreateCustomerWithInvalidEmail","cannotCreateCustomerWithInvalidEmail(String, String) [1] email=test@gmail, message=Email format is not valid",""
"broken","Thu Feb 01 17:11:19 GMT 2024","Thu Feb 01 17:11:19 GMT 2024","155","","com.demo.shop.tests.e2e.CustomerTests","","com.demo.shop.tests.e2e.CustomerTests","cannotCreateCustomerWithInvalidEmail","cannotCreateCustomerWithInvalidEmail(String, String) [3] email=test@123.com, message=Email address is not valid",""
"broken","Thu Feb 01 17:11:14 GMT 2024","Thu Feb 01 17:11:18 GMT 2024","4045","","com.demo.shop.tests.e2e.CustomerTests","","com.demo.shop.tests.e2e.CustomerTests","cannotCreateCustomerWithExistingEmail","cannotCreateCustomerWithExistingEmail()",""
"broken","Thu Feb 01 17:11:18 GMT 2024","Thu Feb 01 17:11:19 GMT 2024","191","","com.demo.shop.tests.e2e.CustomerTests","","com.demo.shop.tests.e2e.CustomerTests","newCustomerCreatedWithValidDetails","newCustomerCreatedWithValidDetails()",""
